EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
31,32,Non-Travel,372,Sales,18,1,Human Resources,2,Male,88,2,1,Research Scientist,4,Single,16611,18547,5,Yes,20,3,3,2,24,0,3,13,14,2,16,Yes
32,20,Travel_Rarely,936,Research & Development,17,3,Medical,3,Female,87,4,2,Human Resources,2,Single,9235,25306,5,No,23,3,3,1,14,6,1,23,17,0,14,Yes
33,54,Travel_Frequently,719,Sales,9,2,Human Resources,1,Male,41,3,2,Healthcare Representative,3,Married,16829,14925,8,Yes,24,3,3,3,5,6,3,10,10,6,2,No
34,24,Non-Travel,961,Sales,10,2,Marketing,2,Female,77,1,2,Laboratory Technician,3,Married,9680,5381,1,No,24,3,1,1,19,0,2,2,8,11,2,No
35,38,Non-Travel,1030,Sales,10,4,Life Sciences,4,Male,60,4,4,Manufacturing Director,4,Divorced,12340,4064,5,No,20,4,4,1,15,4,2,8,0,2,2,No
36,26,Travel_Frequently,388,Sales,25,3,Medical,2,Female,92,1,1,Manager,1,Single,10148,8589,8,No,18,4,2,1,20,3,1,5,8,3,2,No
37,56,Travel_Frequently,823,Research & Development,7,2,Technical Degree,4,Female,68,4,4,Sales Executive,2,Divorced,11306,9447,3,Yes,20,3,3,1,14,1,3,30,11,14,5,No
38,35,Travel_Frequently,992,Sales,16,4,Marketing,1,Female,49,3,3,Sales Representative,3,Single,18499,22368,5,No,19,3,3,3,38,2,2,15,1,4,13,No
39,21,Travel_Rarely,371,Human Resources,29,4,Medical,2,Female,77,4,1,Research Director,2,Divorced,19165,22271,6,No,24,4,3,0,3,4,4,10,10,0,2,No
40,42,Travel_Rarely,1189,Human Resources,18,1,Life Sciences,3,Male,83,1,4,Sales Representative,3,Married,12018,2339,0,Yes,18,4,2,1,23,0,1,16,13,10,0,Yes
41,31,Non-Travel,582,Research & Development,6,4,Other,1,Male,58,2,1,Sales Representative,2,Divorced,19260,23205,4,No,21,3,4,0,2,2,4,2,1,10,9,No
42,26,Travel_Frequently,1035,Sales,27,2,Technical Degree,2,Female,77,2,3,Human Resources,1,Married,12142,22165,3,No,20,3,4,2,0,0,2,18,14,8,12,No
43,43,Travel_Rarely,347,Human Resources,20,1,Human Resources,2,Male,85,3,5,Manufacturing Director,4,Single,10546,21974,9,Yes,12,3,3,0,29,1,4,23,17,6,8,No
44,19,Travel_Frequently,255,Research & Development,1,1,Life Sciences,4,Female,46,1,2,Sales Representative,1,Single,4276,7130,1,Yes,14,3,3,1,12,1,1,7,13,1,1,No
45,37,Non-Travel,1170,Sales,1,2,Marketing,1,Female,38,1,4,Human Resources,2,Married,17832,26075,1,Yes,14,3,4,0,17,4,4,35,11,12,9,No
46,45,Travel_Rarely,553,Human Resources,12,3,Marketing,1,Male,63,1,3,Healthcare Representative,3,Single,17008,25699,1,No,22,3,2,3,39,2,2,39,9,0,11,No
47,24,Travel_Rarely,300,Human Resources,21,4,Other,1,Male,74,3,3,Research Scientist,3,Divorced,5172,9733,6,Yes,12,4,3,3,10,5,4,1,13,13,2,No
48,25,Travel_Rarely,223,Research & Development,28,1,Other,1,Female,38,2,1,Healthcare Representative,4,Married,14183,15110,3,No,23,4,2,1,28,6,4,22,14,10,0,No
49,52,Non-Travel,100,Sales,2,3,Technical Degree,4,Male,36,4,1,Manufacturing Director,1,Single,13836,7049,5,No,18,4,2,0,3,6,4,39,4,1,14,No
50,31,Travel_Frequently,1067,Sales,4,2,Human Resources,3,Female,45,3,2,Research Director,1,Divorced,9989,12318,6,Yes,13,4,4,2,24,2,3,29,1,2,12,No
51,34,Travel_Rarely,954,Human Resources,17,4,Technical Degree,1,Male,48,4,1,Healthcare Representative,1,Divorced,14740,14633,8,Yes,12,3,3,3,35,5,2,24,5,11,6,No
52,53,Non-Travel,739,Human Resources,4,4,Other,4,Male,35,2,4,Human Resources,3,Single,14102,23088,1,No,17,4,1,1,35,1,4,6,11,2,1,No
53,57,Travel_Frequently,290,Human Resources,11,1,Other,3,Male,40,3,4,Human Resources,4,Single,16357,17608,9,Yes,11,4,4,3,39,0,2,27,1,7,10,No
54,21,Non-Travel,615,Sales,22,4,Marketing,3,Male,90,2,4,Laboratory Technician,3,Divorced,19566,2638,8,Yes,16,3,4,1,27,6,4,16,3,4,15,No
55,19,Travel_Frequently,541,Research & Development,26,4,Other,4,Male,71,4,5,Manager,1,Married,16613,9709,4,No,23,4,1,0,7,5,1,31,6,8,13,No
56,23,Non-Travel,242,Research & Development,4,4,Medical,1,Female,42,1,4,Manager,2,Single,4326,7143,5,Yes,23,3,3,0,20,5,1,0,15,2,14,Yes
57,59,Travel_Frequently,1314,Sales,1,4,Life Sciences,3,Male,41,1,1,Manufacturing Director,3,Single,1719,3224,5,Yes,13,3,2,0,34,4,1,26,0,5,6,Yes
58,21,Travel_Rarely,632,Research & Development,7,2,Other,1,Male,49,4,1,Laboratory Technician,4,Married,18906,16466,2,Yes,23,4,2,0,17,3,4,35,0,3,8,No
59,46,Travel_Frequently,326,Human Resources,18,3,Technical Degree,1,Female,79,1,4,Sales Executive,1,Married,2069,17279,9,No,13,4,2,0,24,1,2,6,13,7,3,Yes
60,35,Non-Travel,1436,Research & Development,9,2,Human Resources,2,Female,65,4,3,Sales Representative,2,Single,8749,14102,6,Yes,15,4,3,1,4,5,1,2,10,11,5,No
61,43,Non-Travel,1048,Research & Development,29,2,Human Resources,1,Female,98,3,3,Healthcare Representative,3,Married,13935,6245,6,Yes,24,3,4,3,7,1,3,29,11,0,9,Yes
62,51,Travel_Frequently,1425,Research & Development,3,1,Human Resources,2,Male,66,3,3,Sales Representative,2,Divorced,5887,11741,7,No,13,4,4,2,22,4,1,0,10,3,2,No
63,27,Travel_Rarely,559,Human Resources,8,4,Medical,3,Male,41,3,2,Sales Executive,2,Divorced,12267,23807,4,No,22,3,4,3,2,0,1,33,5,6,0,No
64,53,Travel_Rarely,650,Sales,29,2,Technical Degree,4,Female,69,1,5,Research Director,4,Divorced,19540,24991,1,No,14,4,4,0,36,2,3,37,11,8,5,No
65,31,Travel_Frequently,492,Human Resources,24,4,Medical,2,Female,83,2,4,Laboratory Technician,3,Single,8944,9407,2,No,23,3,4,3,30,1,1,35,11,12,4,No
66,48,Travel_Frequently,944,Sales,19,2,Other,4,Female,31,1,2,Sales Representative,4,Married,16934,26457,8,Yes,23,4,1,3,28,4,4,32,9,0,14,No
67,32,Non-Travel,1330,Sales,4,2,Life Sciences,3,Female,79,1,3,Laboratory Technician,1,Divorced,13747,16790,5,No,13,4,2,1,19,4,4,15,7,7,10,No
68,25,Travel_Rarely,309,Sales,18,1,Human Resources,1,Male,70,2,4,Laboratory Technician,2,Married,11505,26536,7,No,17,3,2,2,2,4,1,37,6,1,12,No
69,31,Travel_Frequently,1238,Research & Development,20,3,Technical Degree,3,Male,74,2,2,Human Resources,4,Divorced,14449,17642,7,Yes,13,4,3,2,22,6,2,10,13,3,5,Yes
70,40,Travel_Rarely,745,Research & Development,27,3,Human Resources,4,Male,38,2,1,Research Scientist,4,Married,12697,11567,4,No,24,4,1,0,39,6,2,7,3,3,4,No
71,57,Travel_Frequently,1374,Sales,11,2,Medical,3,Male,91,2,3,Manufacturing Director,1,Divorced,5139,10859,0,No,20,3,4,1,20,6,1,0,0,13,1,Yes
72,38,Travel_Frequently,318,Sales,27,1,Marketing,1,Male,76,1,2,Manager,3,Divorced,16221,7768,5,Yes,14,4,4,1,12,2,3,13,7,7,16,No
73,33,Travel_Rarely,506,Research & Development,14,4,Other,3,Female,34,4,1,Laboratory Technician,4,Divorced,8087,20758,6,No,12,4,4,1,7,6,4,29,4,10,11,No
74,35,Travel_Frequently,1477,Human Resources,25,4,Life Sciences,1,Male,30,3,3,Sales Representative,2,Divorced,1632,22474,8,No,12,3,1,1,4,1,4,20,7,1,11,No
75,41,Travel_Frequently,987,Sales,18,2,Other,2,Female,73,4,5,Sales Representative,2,Divorced,3199,19399,1,Yes,19,4,3,1,24,5,4,20,7,6,13,No
76,43,Non-Travel,657,Human Resources,28,3,Marketing,4,Female,51,1,3,Healthcare Representative,2,Divorced,15548,2335,1,Yes,21,3,1,2,38,4,1,33,6,2,6,No
77,42,Travel_Frequently,649,Research & Development,28,1,Life Sciences,1,Female,67,2,5,Laboratory Technician,2,Divorced,12255,14953,9,Yes,11,4,3,2,36,2,4,37,3,8,13,Yes
78,58,Travel_Frequently,241,Sales,29,3,Marketing,1,Male,48,3,5,Research Scientist,4,Divorced,18006,17330,0,Yes,11,4,2,3,4,6,1,25,5,4,6,No
79,46,Travel_Frequently,711,Human Resources,16,4,Other,3,Female,60,3,5,Manufacturing Director,2,Divorced,7073,18464,4,Yes,20,3,3,2,7,0,1,13,11,13,8,Yes
80,32,Non-Travel,600,Human Resources,3,3,Medical,2,Male,96,4,4,Manufacturing Director,4,Married,17744,4134,1,Yes,11,4,2,1,3,3,2,39,17,11,13,Yes
81,18,Travel_Rarely,939,Human Resources,15,4,Other,1,Female,71,1,4,Research Director,3,Married,11559,18641,2,Yes,24,3,3,3,21,1,3,34,11,14,16,No
82,42,Non-Travel,801,Research & Development,27,1,Other,2,Male,55,1,5,Research Director,2,Single,17097,2184,1,Yes,13,3,2,2,13,2,3,17,17,7,16,Yes
83,24,Non-Travel,695,Research & Development,27,1,Other,2,Female,42,1,1,Healthcare Representative,3,Divorced,9401,25225,3,Yes,12,4,2,3,18,3,3,19,2,14,12,Yes
84,26,Travel_Rarely,380,Human Resources,4,2,Technical Degree,3,Male,87,3,5,Manager,4,Married,12659,18506,2,Yes,13,3,4,2,12,3,4,8,9,4,16,No
85,41,Non-Travel,523,Human Resources,5,2,Marketing,1,Female,47,4,2,Research Director,1,Married,10122,10056,8,Yes,24,4,3,0,34,6,2,32,6,0,5,No
86,18,Travel_Rarely,955,Research & Development,17,3,Marketing,3,Female,96,3,5,Sales Executive,3,Married,14894,9263,9,Yes,15,3,4,2,3,2,2,3,2,8,11,Yes
87,25,Non-Travel,369,Human Resources,7,1,Human Resources,4,Female,32,3,4,Healthcare Representative,2,Married,1877,23084,1,No,19,4,2,3,32,5,1,3,12,9,5,Yes
88,41,Travel_Rarely,253,Human Resources,16,1,Marketing,4,Female,84,2,4,Manufacturing Director,1,Married,14775,25042,6,Yes,12,4,4,0,21,5,2,15,3,10,2,Yes
89,28,Travel_Frequently,713,Research & Development,14,2,Human Resources,1,Male,87,4,2,Manufacturing Director,3,Married,11691,15191,2,Yes,22,3,1,1,0,2,1,25,9,11,14,No
90,34,Non-Travel,761,Human Resources,26,4,Technical Degree,2,Male,92,2,2,Research Scientist,4,Single,17110,5514,9,Yes,21,4,4,3,10,2,2,5,5,6,2,No
91,25,Non-Travel,182,Human Resources,16,3,Medical,1,Male,81,1,3,Sales Executive,4,Married,3523,24017,7,Yes,24,4,3,1,15,4,1,36,0,3,14,No
92,52,Non-Travel,1046,Human Resources,7,3,Human Resources,1,Female,53,3,1,Manager,4,Single,13543,8077,3,Yes,11,4,4,1,3,0,4,21,5,6,0,Yes
93,52,Non-Travel,998,Research & Development,9,2,Other,4,Female,38,4,1,Sales Representative,3,Single,7270,19778,3,No,21,3,1,3,28,5,2,38,7,4,2,No
94,50,Travel_Frequently,1398,Human Resources,4,1,Medical,4,Female,66,1,1,Healthcare Representative,4,Divorced,6088,4352,8,No,16,4,4,1,38,4,3,6,14,9,4,No
95,22,Non-Travel,383,Research & Development,22,2,Technical Degree,2,Female,82,4,4,Research Director,3,Divorced,8564,17716,2,No,13,4,2,3,37,3,1,29,7,13,13,No
96,59,Travel_Frequently,1079,Research & Development,11,2,Marketing,2,Female,53,3,1,Human Resources,2,Divorced,8066,11500,6,No,23,3,2,3,23,3,2,9,5,8,3,No
97,56,Travel_Frequently,272,Sales,2,2,Human Resources,1,Female,50,4,3,Research Scientist,2,Married,7545,16992,0,Yes,17,4,2,2,8,3,2,14,13,1,8,Yes
98,58,Travel_Frequently,1450,Sales,12,2,Other,3,Male,69,1,3,Manufacturing Director,3,Divorced,3321,24345,6,No,16,3,3,0,7,2,1,5,1,3,9,Yes
99,45,Travel_Frequently,1186,Human Resources,12,4,Life Sciences,1,Male,91,2,1,Human Resources,3,Married,14132,22328,9,No,21,3,4,1,13,1,2,23,6,5,7,No
100,24,Travel_Rarely,1196,Research & Development,4,4,Life Sciences,2,Male,99,3,2,Healthcare Representative,1,Married,9330,12133,1,Yes,17,4,2,1,14,4,3,1,7,10,12,Yes
101,26,Travel_Rarely,862,Sales,18,1,Medical,3,Male,98,2,3,Laboratory Technician,4,Divorced,9294,8405,5,No,23,3,4,0,21,1,1,39,9,4,1,No
102,25,Non-Travel,1498,Human Resources,26,2,Marketing,4,Male,43,3,2,Manager,2,Divorced,14553,18874,8,No,23,4,1,0,36,6,1,14,12,0,6,No
103,29,Travel_Rarely,732,Sales,21,4,Life Sciences,2,Male,71,1,4,Laboratory Technician,2,Single,6333,19438,5,Yes,15,4,1,0,14,0,1,20,0,8,10,No
104,51,Travel_Rarely,886,Sales,7,1,Medical,2,Male,79,3,3,Healthcare Representative,1,Single,8858,19085,2,Yes,11,4,3,0,5,0,1,17,8,8,4,No
105,50,Non-Travel,1042,Research & Development,29,2,Technical Degree,3,Male,90,2,2,Laboratory Technician,3,Married,6389,4934,0,No,24,3,4,0,0,4,1,4,9,2,7,Yes
106,40,Non-Travel,1111,Research & Development,1,3,Medical,2,Female,33,3,1,Manager,3,Married,19232,23771,3,Yes,13,3,1,2,19,3,3,24,1,3,9,No
107,41,Non-Travel,497,Sales,26,4,Medical,2,Female,46,1,4,Healthcare Representative,1,Divorced,4205,16347,3,No,13,4,3,3,35,6,1,35,10,3,1,Yes
108,54,Travel_Rarely,1243,Sales,26,1,Medical,2,Female,86,3,5,Human Resources,4,Divorced,3161,15502,7,Yes,17,4,3,0,1,5,3,9,4,9,2,No
109,52,Travel_Rarely,1033,Research & Development,23,3,Other,2,Female,77,2,5,Laboratory Technician,3,Single,18848,15711,9,No,24,3,2,2,5,0,3,22,17,7,4,No
110,57,Non-Travel,775,Human Resources,26,2,Medical,2,Female,73,1,1,Manager,3,Divorced,1643,15848,9,No,23,4,1,0,1,1,3,23,6,5,15,No
111,39,Travel_Frequently,1035,Research & Development,13,2,Human Resources,2,Female,74,2,4,Research Director,4,Married,15986,24421,6,No,13,3,4,0,2,1,1,9,2,14,9,Yes
112,44,Non-Travel,564,Sales,6,2,Medical,2,Female,62,3,4,Sales Representative,4,Divorced,12628,16426,9,Yes,21,3,1,1,6,5,3,5,15,1,10,Yes
113,52,Travel_Frequently,385,Human Resources,6,4,Other,2,Male,60,4,4,Manager,1,Single,6351,6695,6,Yes,15,4,1,1,19,2,1,12,14,3,15,Yes
114,18,Travel_Frequently,364,Sales,12,1,Other,4,Male,76,2,4,Research Scientist,1,Married,5553,18203,6,No,14,4,4,1,4,3,3,20,7,0,11,No
115,52,Non-Travel,419,Human Resources,8,3,Technical Degree,2,Female,35,3,5,Sales Representative,1,Single,7518,17860,1,Yes,14,4,4,1,24,2,1,31,4,2,1,No
116,54,Non-Travel,772,Sales,24,1,Marketing,4,Male,63,4,2,Research Director,3,Single,6723,16097,8,Yes,23,3,2,3,37,4,2,14,2,3,10,No
117,31,Non-Travel,1499,Human Resources,22,4,Life Sciences,4,Male,82,4,4,Sales Executive,1,Married,8946,16636,5,No,17,3,3,3,17,0,2,1,4,7,0,No
118,20,Travel_Rarely,919,Human Resources,19,1,Life Sciences,1,Male,43,1,2,Human Resources,3,Single,1610,26655,1,Yes,11,3,4,1,0,5,3,14,8,2,4,Yes
119,18,Travel_Frequently,188,Sales,5,4,Medical,1,Male,45,4,4,Manufacturing Director,2,Divorced,5302,10843,0,Yes,17,3,4,1,24,5,4,16,15,4,13,Yes
120,22,Travel_Rarely,1326,Human Resources,18,2,Technical Degree,4,Male,72,2,3,Research Director,4,Divorced,2543,18800,0,No,18,4,1,0,16,5,4,19,13,0,6,No
121,43,Travel_Rarely,920,Research & Development,5,3,Medical,4,Female,41,2,3,Sales Representative,4,Single,2466,17573,0,No,13,3,4,0,14,2,2,5,17,12,4,Yes
122,31,Non-Travel,1100,Sales,25,2,Life Sciences,2,Male,99,4,3,Sales Representative,2,Divorced,10108,7566,3,Yes,13,4,4,1,4,2,3,14,6,3,7,Yes
123,56,Travel_Rarely,433,Research & Development,10,1,Other,1,Female,48,3,4,Research Scientist,1,Single,15656,23557,3,Yes,14,3,1,1,16,4,3,16,14,1,14,Yes
124,44,Non-Travel,321,Sales,1,2,Marketing,3,Female,70,2,2,Sales Executive,3,Divorced,7236,7999,8,Yes,23,3,1,1,20,1,3,25,7,3,4,No
125,26,Travel_Frequently,140,Human Resources,10,3,Technical Degree,1,Female,82,2,5,Manufacturing Director,3,Single,14719,5866,0,No,16,4,1,0,22,1,4,21,2,4,12,No
126,32,Non-Travel,167,Human Resources,5,2,Other,4,Male,58,1,1,Research Scientist,3,Divorced,18565,10937,2,Yes,24,3,2,1,9,6,2,8,10,2,1,Yes
127,32,Travel_Rarely,1087,Human Resources,12,3,Marketing,4,Female,99,3,5,Research Director,4,Married,19530,4002,2,Yes,17,4,3,1,16,4,3,11,17,13,4,No
128,43,Travel_Rarely,613,Sales,22,3,Technical Degree,2,Female,88,4,4,Sales Representative,1,Married,19656,18623,7,Yes,11,3,4,3,0,5,2,21,14,5,4,Yes
129,59,Non-Travel,1250,Research & Development,27,2,Technical Degree,2,Female,93,3,3,Research Director,3,Divorced,10043,20328,1,Yes,23,4,1,3,36,1,2,22,9,11,5,No
130,30,Non-Travel,1378,Research & Development,7,4,Life Sciences,1,Female,53,1,3,Manager,3,Single,5536,24945,5,Yes,14,3,1,0,6,4,1,36,2,14,15,No
131,49,Travel_Rarely,794,Sales,9,1,Other,2,Male,45,1,2,Sales Executive,3,Divorced,18103,11047,3,Yes,22,3,3,3,11,1,4,13,14,1,1,Yes
132,56,Travel_Frequently,1139,Sales,22,4,Technical Degree,3,Female,81,3,4,Human Resources,2,Single,11206,17925,9,No,17,4,2,0,39,6,2,23,5,4,4,No
133,49,Travel_Frequently,576,Research & Development,21,4,Human Resources,3,Female,35,1,5,Manager,3,Divorced,4642,24251,5,No,21,4,4,2,0,4,1,7,10,3,14,Yes
134,21,Non-Travel,1185,Research & Development,12,2,Technical Degree,2,Female,66,1,4,Sales Executive,2,Divorced,13062,21578,4,No,12,4,2,1,19,1,4,25,10,4,0,No
135,47,Travel_Frequently,980,Research & Development,23,1,Marketing,3,Female,33,1,4,Sales Executive,3,Married,17447,14707,8,Yes,11,3,2,0,30,5,3,31,2,12,2,No
136,54,Travel_Rarely,531,Research & Development,29,1,Life Sciences,3,Male,67,3,3,Research Director,3,Single,14055,26117,8,Yes,11,3,2,3,3,2,3,27,12,8,14,No
137,40,Non-Travel,367,Sales,1,4,Medical,1,Female,70,1,5,Manager,3,Single,1559,24743,0,No,20,3,1,2,25,2,1,31,7,5,2,No
138,56,Travel_Rarely,1158,Sales,11,2,Life Sciences,3,Female,43,4,1,Research Director,2,Single,2733,25971,2,No,24,3,3,3,11,6,3,21,10,6,7,Yes
139,32,Travel_Rarely,878,Human Resources,21,1,Medical,4,Female,80,4,3,Research Director,3,Single,9861,23188,0,No,24,3,3,0,21,5,1,8,10,13,14,No
140,46,Travel_Frequently,593,Research & Development,15,4,Other,4,Female,94,2,5,Research Director,1,Single,2542,12790,5,No,16,3,3,2,0,1,1,2,12,10,0,No
141,53,Non-Travel,760,Human Resources,2,1,Other,1,Female,81,4,2,Sales Representative,3,Married,10463,17301,2,No,22,4,2,3,0,5,3,24,2,7,5,No
142,30,Non-Travel,1448,Sales,20,2,Technical Degree,2,Female,59,2,3,Sales Representative,2,Divorced,3415,17596,0,Yes,15,3,4,2,2,4,4,38,5,14,16,Yes
143,49,Travel_Frequently,1427,Sales,7,2,Human Resources,1,Male,86,3,2,Manufacturing Director,2,Single,11983,3353,5,Yes,11,3,2,1,11,2,1,11,9,8,15,No
144,24,Travel_Rarely,1399,Human Resources,21,2,Other,2,Female,59,1,3,Human Resources,1,Single,13905,12227,4,Yes,20,4,3,1,20,0,4,28,11,13,12,Yes
145,39,Travel_Rarely,1112,Research & Development,12,1,Technical Degree,2,Male,71,4,4,Research Scientist,4,Divorced,6387,21264,7,Yes,13,4,1,2,12,6,4,2,13,4,0,No
146,45,Travel_Rarely,1324,Research & Development,22,3,Life Sciences,2,Male,40,2,5,Human Resources,1,Married,9187,17828,1,Yes,21,4,2,3,12,1,1,22,10,7,2,No
147,19,Travel_Rarely,1447,Research & Development,18,1,Other,2,Female,56,3,2,Laboratory Technician,1,Married,7643,19063,7,No,17,4,1,3,17,0,4,22,9,1,5,Yes
148,59,Non-Travel,1158,Research & Development,3,3,Life Sciences,2,Male,53,2,3,Research Scientist,2,Married,16667,10678,4,No,22,4,3,3,32,0,1,17,2,9,2,No
149,23,Non-Travel,1076,Human Resources,7,2,Life Sciences,1,Female,68,1,2,Manufacturing Director,3,Divorced,12246,22004,7,Yes,19,3,2,1,5,6,3,10,12,8,14,No
150,45,Travel_Frequently,581,Human Resources,11,4,Human Resources,2,Male,47,4,3,Healthcare Representative,3,Divorced,3458,14910,9,No,23,3,1,0,24,3,3,35,17,1,14,No
151,45,Travel_Frequently,827,Sales,18,3,Other,3,Female,74,3,3,Research Scientist,4,Married,7028,22698,3,Yes,19,4,2,0,22,0,3,25,12,12,10,Yes
152,37,Non-Travel,579,Research & Development,12,2,Life Sciences,3,Male,41,2,1,Sales Executive,4,Married,6447,8864,3,Yes,16,4,3,2,23,0,3,7,13,14,5,No
